,Country_Region,Confirmed,Deaths,Active,Deaths_per_100,iso3,Population,Lat,Long,Continent,Cases_per_million,Confirmed_last_week,Deaths_last_week,New_cases_last_week,New_deaths_last_week,Confirmed_last_month,Deaths_last_month,New_cases_last_month,New_deaths_last_month
31,Cambodia,136200.0,3056.0,0.0,2.2437591776798826,KHM,16718971.0,11.55,104.9167,Asia,8146.4343708712695,136044.0,3055.0,156.0,1.0,135402.0,3054.0,798.0,2.0
32,Cameroon,119780.0,1927.0,0.0,1.6087827684087495,CMR,26545864.0,3.848,11.5021,Africa,4512.190674976711,119780.0,1927.0,0.0,0.0,119544.0,1927.0,236.0,0.0
33,Canada,3689966.0,38801.0,0.0,1.05152730404562,CAN,38246108.0,60.0,-95.0,North America,96479.5162948345,3622253.0,38341.0,67713.0,460.0,3439432.0,37454.0,250534.0,1347.0
34,Central African Republic,14649.0,113.0,0.0,0.7713837121987849,CAF,4829764.0,6.6111,20.9394,Africa,3033.0674542275774,14649.0,113.0,0.0,0.0,14649.0,113.0,0.0,0.0
35,Chad,7396.0,193.0,0.0,2.6095186587344514,TCD,16425859.0,15.4542,18.7322,Africa,450.2656451635193,7378.0,192.0,18.0,1.0,7288.0,190.0,108.0,3.0
36,Chile,3544463.0,57375.0,0.0,1.6187219333365874,CHL,19116209.0,-35.6751,-71.543,South America,185416.62732396365,3528626.0,57231.0,15837.0,144.0,3443018.0,56298.0,101445.0,1077.0
37,China,1949792.0,13922.0,0.0,0.714024880602649,CHN,1411778724.0,35.8617,104.19545,Asia,1381.0889531439063,1767045.0,13748.0,182747.0,174.0,1313471.0,11739.0,636321.0,2183.0
38,Colombia,6091094.0,139771.0,0.0,2.294678098876819,COL,50882884.0,4.5709,-74.2973,South America,119708.11245683323,6089540.0,139745.0,1554.0,26.0,6083291.0,139558.0,7803.0,213.0
39,Comoros,8104.0,160.0,0.0,1.9743336623889436,COM,869595.0,-11.6455,43.3333,Africa,9319.280814632099,8100.0,160.0,4.0,0.0,8081.0,160.0,23.0,0.0
40,Congo (Brazzaville),24079.0,385.0,0.0,1.5989036089538602,COG,5518092.0,-0.228,15.8277,Africa,4363.645984880281,24079.0,385.0,0.0,0.0,24062.0,384.0,17.0,1.0
